"filename", "language", "C++", "CMake", "Markdown", "Batch", "C", "F#", "Makefile", "comment", "blank", "total"
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_basic_window.c", "C", 0, 0, 0, 0, 17, 0, 0, 44, 11, 72
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_clipboard_text.c", "C", 0, 0, 0, 0, 89, 0, 0, 46, 30, 165
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_compute_hash.c", "C", 0, 0, 0, 0, 76, 0, 0, 40, 28, 144
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_custom_frame_control.c", "C", 0, 0, 0, 0, 67, 0, 0, 48, 27, 142
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_custom_logging.c", "C", 0, 0, 0, 0, 38, 0, 0, 35, 18, 91
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_delta_time.c", "C", 0, 0, 0, 0, 47, 0, 0, 46, 19, 112
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_directory_files.c", "C", 0, 0, 0, 0, 54, 0, 0, 36, 23, 113
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_drop_files.c", "C", 0, 0, 0, 0, 54, 0, 0, 33, 21, 108
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_highdpi_demo.c", "C", 0, 0, 0, 0, 73, 0, 0, 38, 24, 135
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_highdpi_testbed.c", "C", 0, 0, 0, 0, 51, 0, 0, 37, 20, 108
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_input_actions.c", "C", 0, 0, 0, 0, 106, 0, 0, 61, 37, 204
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_input_gamepad.c", "C", 0, 0, 0, 0, 180, 0, 0, 64, 48, 292
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_input_gestures.c", "C", 0, 0, 0, 0, 65, 0, 0, 33, 25, 123
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_input_gestures_testbed.c", "C", 0, 0, 0, 0, 217, 0, 0, 63, 36, 316
